,p
r_0091,-0.15901521720832032
r_0163,-19.61686630862845
r_0165,-0.4919530408027931
r_0173,0.016183188558144983
r_0280,-0.16199100989647883
r_0300,0.13697215386491565
r_0302,-0.16199100989647935
r_0303,-0.21993310373349234
r_0366,0.07327027384547746
r_0450,0.02093601753676207
r_0451,0.2841345922476373
r_0452,0.052644922746182744
r_0454,-0.023989756591071134
r_0466,-0.06052831320037562
r_0467,-0.05115130280432924
r_0486,0.015131841062457234
r_0534,0.03362684638380269
r_0658,-0.014748654852271701
r_0659,-0.31365211776047747
r_0713,-1.4148901406467158
r_0714,-0.392153223528616
r_0831,-0.059292681119731884
r_0832,-0.05929268111830384
r_0888,-0.0798186153162647
r_0889,-0.0845756182420299
r_0892,0.024750840402680215
r_0893,0.08511218462133609
r_0959,-0.01144695509812621
r_0961,0.0631501223609418
r_0962,0.4394221290800026
r_0984,-0.09473377950400876
r_0990,0.040147529294515184
r_1022,0.2507721887779995
r_1048,0.05110738413266102
r_1049,0.0579421678295352
r_1050,0.07483343464462873
r_1054,-0.037309634499491415
r_2115,0.044327483750909454
r_2131,-0.0020526019682924166
r_2305,-0.21993310373349495
