,0
0,r_0006
1,r_0018
2,r_0032
3,r_0075
4,r_0080
5,r_0081
6,r_0127
7,r_0153
8,r_0154
9,r_0226
10,r_0238
11,r_0239
12,r_0240
13,r_0241
14,r_0244
15,r_0250
16,r_0352
17,r_0353
18,r_0499
19,r_0524
20,r_0539
21,r_0665
22,r_0701
23,r_0722
24,r_0727
25,r_0729
26,r_0735
27,r_0739
28,r_0757
29,r_0811
30,r_0852
31,r_0891
32,r_0902
33,r_0904
34,r_0906
35,r_0917
36,r_0918
37,r_0967
38,r_0989
39,r_1057
40,r_1063
41,r_1088
42,r_1089
43,r_1178
44,r_1245
45,r_1266
46,r_1729
47,r_2131
48,r_2182
49,r_2183
50,r_2335
51,r_2378
52,r_2437
53,r_2438
54,r_2488
55,r_2492
56,r_2493
57,r_2494
58,r_2496
59,r_2500
60,r_2501
61,r_2502
62,r_2504
63,r_2508
64,r_2509
65,r_2510
66,r_4570
67,r_4587
68,r_4589
69,r_4591
70,r_4592
