orf,SC,SM,YPD
YAL002W,0.791281651,0.681632228,0.870799583
YAL004W,0.993729086,0.942034858,0.988947858
YAL005C,0.981360818,0.999968169,0.966564941
YAL007C,0.903936885,0.934152923,0.960801715
YAL008W,0.984431612,0.998075778,1.001219224
YAL009W,1.010841785,0.992601279,1.031503268
YAL010C,0.398286023,0.177866379,0.602419627
YAL011W,1.015300471,0.988674321,0.996259733
YAL013W,0.935823653,0.810549671,0.809119261
YAL014C,1.047248137,1.014183963,1.05429706
YAL015C,0.99406094,1.000715519,1.004365693
YAL016C-B,0.957720427,0.977320972,0.956080241
YAL017W,1.006854608,1.00757527,1.000884288
YAL018C,1.019659206,1.003618121,0.99055944
YAL019W,0.92716886,0.981476503,0.957945287
YAL020C,0.819325703,0.866334628,0.822512968
YAL021C,0.654903597,0.620818064,0.785108826
YAL022C,1.046325296,1.028977573,1.052457346
YAL023C,0.6020193,0.733639661,0.922114501
YAL026C,0.907990354,0.935834162,0.933751737
YAL027W,1.000207562,0.994354553,0.991474546
YAL028W,0.990159632,1.036937099,1.006048058
YAL029C,1.000406327,0.988200206,0.998611316
YAL030W,1.075729434,1.001986203,1.027688499
YAL031C,1.049571503,1.012084571,1.028084117
YAL034C,0.999042916,1.019830892,1.006552125
YAL036C,0.953811373,0.980751507,1.00462626
YAL037C-A,0.923748071,0.959498177,0.968283734
YAL037W,0.964764546,0.94976959,0.984553472
YAL039C,0.981929214,0.816914167,0.799578103
YAL040C,0.871421122,0.902350474,0.916483578
YAL042W,0.982021333,0.978172685,0.991206144
YAL043C-a,0.983671813,0.970609968,0.964123699
YAL044C,0.346292496,0,0.868242993
YAL044W-A,0.909378917,0.954424268,0.975229299
YAL045C,1.044526777,1.023595598,0.982461661
YAL046C,0.905750302,0.766991604,1.019475938
YAL047C,0.36328347,0,0.443628992
YAL048C,0.773320812,0.591620484,0.795076173
YAL049C,0.94796089,0.959606909,0.988180908
YAL053W,0.961853221,0.972290717,1.000532727
YAL054C,1.025618513,0.998323114,1.001819783
YAL055W,0.992106289,0.935303571,0.966642964
YAL058C-A,0.797808832,0.936102095,0.78035585
YAL058W,0.813373608,0.957493951,0.842832232
YAL059W,0.928565369,0.949037195,0.890213053
YAL060W,1.010143709,1.005834922,0.996389775
YAL061W,0.997295528,1.040887776,1.033354211
YAL062W,1.004990351,1.022676067,1.003706549
YAL064C-A,0.987521972,0.998450565,0.995844105
YAL065C,1.003213422,0.998887304,1.038011849
YAL066W,1.000638418,1.019909258,1.009450275
YAL067C,1.002092514,1.023140688,0.992875852
YAL067W-A,0.97145563,0.996696235,0.959469307
YAL068C,1.017872411,1.041336792,1.068482713
YAR002C-A,0.933291853,0.9983763,0.982600913
YAR002W,0.89088949,0.995415111,0.851849709
YAR003W,0.928798147,0.916651798,0.94251058
YAR014C,0.636386151,0.6324204,0.975760596
YAR018C,0.848880387,0.852785705,0.884329804
YAR020C,0.993463965,1.020849562,1.012656177
YAR023C,0.978385787,0.977113769,1.005166375
YAR027W,0.985245101,1.026337851,0.986050363
YAR028W,0.964481367,0.973094962,0.983807818
YAR029W,0.752431313,0.810199428,0.932573389
YAR030C,0.966563413,1.016884601,1.104874643
YAR031W,0.993483097,0.983790919,0.995223833
YAR035C-A,0.975646321,0.951733831,0.958299554
