Var1,ASG1_RPN4,CAD1_YAP1,CAT8_YPR015C,CBF1_HAC1,CBF1_MAL33,CBF1_SUT2,CBF1_TYE7,CIN5_YAP6,CST6_MAL13,CUP2_HAA1,CUP9_RPN4,CUP9_TOS8,DAL80_GZF3,DAL81_UGA3,DOT6_TOD6,ECM22_SIP4,ECM22_UPC2,ECM23_GAT3,ECM23_GAT4,FKH1_FKH2,FKH1_HCM1,GAT1_GLN3,GAT1_GZF3,GAT3_GAT4,GAT4_HMO1,GIS1_RPH1,GLN3_GZF3,GLN3_HAA1,GLN3_ISW2,GLN3_MIG1,GLN3_RIM101,GLN3_ROX1,GLN3_SUM1,GZF3_STB5,HAC1_RPN4,HAC1_SNT1,HEL2_RPN4,HMO1_ROX1,ISW2_RPN4,ISW2_STB5,LYS14_RPN4,MAL13_MAL33,MET28_YRR1,MET31_MET32,MIG1_MIG2,MIG1_MIG3,MIG1_RPN4,MIG1_STB5,MIG1_YGR067C,MIG2_MIG3,MIG2_YGR067C,MSN2_MSN4,MSN2_PPR1,MSN2_YAP1,NHP6A_NHP6B,NHP6B_PHO2,NRG1_NRG2,NSI1_RPN4,PHO2_YOX1,RGM1_USV1,RLM1_SMP1,RPI1_ZAP1,RPN4_SNT1,RSF2_TDA9,SIP4_YER184C,SNT1_SPT2,STB4_YAP1,STP3_STP4,TDA9_YGR067C,YFL052W_YPR196W,YHP1_YOX1,YRM1_YRR1,CAD1,HAC1,HEL2,MET31,NHP6A,NRG2,NSI1,RPH1,STB5,TDA9,YAP1,YER184C,YGR067C,YPR196W
r_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70458715145491e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0003,0,0,0,0,0,0,-0,0,0,-0,-0,0,-0,0,0,0,-0,-0,0,-0,0,-0,-0,0,-0,0,0,0,0,-0,0,-0,0,0,0,0,-0,0,0,0,0,0,-0,-0,-0,0,0,0,-0,0,0,-0,0,0,0,0,-0,-0,0,-0,-0,0,0,0,0,0,-0,0,0,-0,0,-0,0,0,0,0,-0,0,0,-0,0,-0,0,-0,0,0
r_0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24999924010597e-28,0,0,0,0
r_0005,0.269866868971679,0.269436768934654,0.279859809690779,0.204435414731254,0.212894328233061,0.199048924184274,0.209438309788684,0.274322270549202,0.231848496009505,0.28891126662039,0.247694589847261,0.281446177706045,0.292882979463168,0.280957313648969,0.269899727780391,0.277250870862441,0.220210289514022,0.269138974698128,0.268222597889883,0.25534021372604,0.286191690643844,0.257103734555037,0.287922148585588,0.297647703961147,0.222369053861716,0.276731464076732,0.261271545735163,0.257362175885665,0.247359828398054,0.243316433163164,0.245745834599921,0.263005714446179,0.228271969842375,0.268225251932778,0.22063342748567,0.260485790304189,0.276493295045941,0.221706227531929,0.232386446990361,0.230842414264871,0.275702931806418,0.306528170459179,0.288379872513901,0.192810126813049,0.241151306388181,0.285574237038829,0.24582400942389,0.215735743952199,0.250452525121393,0.293203827765987,0.292477592383574,0.261500508071784,0.27768328520276,0.279559099911857,0.179068471058862,0.279510007653293,0.293096305475013,0.269671165264089,0.281776434798485,0.207687314551255,0.295459057074064,0.221472090629813,0.201319984274618,0.2420517777398,0.290782178937485,0.191008779262234,0.288399283661477,0.295982568628068,0.285106178718471,0.260649187638181,0.282525064344449,0.265970220323307,0.284867344060887,0.2905297661327,0.287924138103298,0.296076574819088,0.294701882289865,0.300445722961944,0.29234674775796,0.291500331139161,0.253345414926128,0.288445529561415,0.290126102220955,0.303909690365975,0.278797154213603,0.291880278927001
r_0006,0.0901671375574308,0.0900234337773052,0.0935059500017137,0.0683053693546128,0.0711316370628723,0.0665056507157444,0.0699769221782236,0.0916557634433905,0.0774645487674381,0.0965301966058906,0.0827589997990199,0.094035982693738,0.09785721381107,0.0938726448492324,0.0901781162475398,0.0926342589078421,0.0735760248815729,0.0899239356284921,0.0896177584603266,0.0853135335312161,0.0956215397481238,0.085902756008875,0.0961997153495423,0.0994491897763658,0.0742973049802909,0.0924607162152034,0.0872952930232325,0.0859891056786143,0.0826471502720495,0.0812961827533885,0.0821078873333729,0.0878747084561451,0.0762695701910826,0.0896186452214607,0.0737174025165557,0.0870327586917634,0.0923811398676394,0.0740758433644864,0.0776442873929125,0.0771283996454353,0.0921170659885082,0.102416305552205,0.0963526487443114,0.0644211617864153,0.0805727768588708,0.0954152379358605,0.0821340068794038,0.072081002662961,0.0836804731543257,0.0979644147178192,0.0977217670527888,0.0873717932567745,0.0927787359362891,0.0934054777203098,0.0598298395193432,0.0933890751568983,0.0979284896810127,0.0901017496008061,0.0941463272380564,0.0693918847149838,0.0987179254100351,0.073997614220091,0.0672644507431338,0.0808736397418818,0.0971553004168778,0.0638193007538921,0.0963591343407844,0.0988928395759814,0.0952588516439179,0.0870873525363014,0.0943964571762281,0.0888652005837314,0.0951790528990555,0.0970709649807531,0.0962003800814441,0.0989242486525726,0.0984649403615849,0.100384055790466,0.0976780496250018,0.0973952473529446,0.0846470371269838,0.0963745858870861,0.0969360939623283,0.101541426558519,0.0931508986278574,0.097522194408659
r_0007,0.0274574392364666,0.0274136789717212,0.0284741648672705,0.020800156014536,0.0216608029860127,0.0202521108341288,0.0213091725068873,0.0279107513401533,0.0235892831732346,0.0293950998067587,0.0252015342818773,0.0286355689090182,0.0297991992964841,0.0285858297350573,0.0274607824358265,0.0282087199846745,0.0224051609840647,0.027383380079584,0.0272901438826919,0.0259794335989606,0.0291183982153054,0.0261588619452001,0.029294462598339,0.0302839832711908,0.0226248031399489,0.0281558732595023,0.0265829133401099,0.0261851569000383,0.0251674741833357,0.0247560814125444,0.0250032593732365,0.0267593552730895,0.0232253917096927,0.0272904139166601,0.022448212897734,0.0265029671352167,0.0281316408973903,0.0225573642811375,0.0236440166661801,0.0234869200025517,0.0280512258738395,0.0311875208939836,0.0293410334389784,0.019617348218096,0.024535791915394,0.0290555757765761,0.0250112132228035,0.0219499010874249,0.0254821387165608,0.0298318438104711,0.0297579534364509,0.0266062089727645,0.0282527157167905,0.0284435693350585,0.0182192118728796,0.0284385744732897,0.0298209040208548,0.0274375274826453,0.0286691707145404,0.0211310185692874,0.0300613007346456,0.0225335421654871,0.0204831784515454,0.0246274098213469,0.0295854546341561,0.0194340712152215,0.0293430084142953,0.0301145650969528,0.02900795346955,0.0265195918968504,0.0287453395690103,0.0270609771072092,0.0289836533836477,0.0295597730479862,0.0292946650205994,0.0301241296992607,0.0299842624501472,0.0305686660000846,0.0297446407301862,0.0296585225899048,0.025776474017274,0.0293477136750497,0.02951870251061,0.0309211052412398,0.0283660456368327,0.0296971801447851
r_0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0013,6.85019125238728e-05,6.83927379742084e-05,7.10384798152181e-05,5.18930573640622e-05,5.40402329368339e-05,5.05257724673651e-05,5.31629719283427e-05,6.96328540305742e-05,5.88514827351298e-05,7.3336064727553e-05,6.28737916473353e-05,7.14411564026189e-05,7.43442282776297e-05,7.13170662830621e-05,6.85102524942475e-05,7.03762370917388e-05,5.58972881294826e-05,6.83171461758923e-05,6.80845365922273e-05,6.48145250549009e-05,7.2645739123609e-05,6.52621697662222e-05,7.30849917380376e-05,7.55536882035068e-05,5.64452597317994e-05,7.02443935013356e-05,6.6320109900226e-05,6.53277715268689e-05,6.27888168319001e-05,6.17624579217773e-05,6.23791266809305e-05,6.67603048850474e-05,5.79436320775124e-05,6.80852107639389e-05,5.60046954224533e-05,6.61206574749895e-05,7.01839374388164e-05,5.62770093776649e-05,5.8988034143554e-05,5.85961024266225e-05,6.99833149036659e-05,7.78078679956088e-05,7.3201177586559e-05,4.8942141432934e-05,6.12128702492532e-05,7.24890077627756e-05,6.23989701799901e-05,5.47614874950908e-05,6.35738535196564e-05,7.44256713932805e-05,7.42413266590505e-05,6.63782288009309e-05,7.04860000475923e-05,7.09621490341881e-05,4.54540150158708e-05,7.0949688177923e-05,7.43983783388818e-05,6.84522347191906e-05,7.15249880469408e-05,5.27185063989253e-05,7.49981292416564e-05,5.62175782053793e-05,5.11022487475332e-05,6.14414425108089e-05,7.3810969499962e-05,4.84848943975836e-05,7.32061050204401e-05,7.51310161541288e-05,7.23701974457459e-05,6.61621329020982e-05,7.17150176843229e-05,6.75128027928946e-05,7.23095726128679e-05,7.37468994333197e-05,7.3085496557882e-05,7.51548775990509e-05,7.48059311215597e-05,7.6263925253532e-05,7.42081149110522e-05,7.39932624587056e-05,6.43081735361021e-05,7.32178444078306e-05,7.36444351929282e-05,7.71432045580598e-05,7.07687397908618e-05,7.4089706516378e-05
r_0014,0.000360536360702467,0.000359961756258883,0.00037388671561379,0.000273121338335314,0.000284422265718728,0.000265925102257256,0.000279805099049829,0.000366488681846403,0.000309744628172121,0.000385979268333923,0.000330914670368793,0.000376006069327487,0.000391285391681138,0.000375352957410903,0.000360580259367594,0.000370401229180916,0.000294196233398898,0.000359563909532887,0.000358339649731535,0.000341129060223534,0.000382345973039195,0.000343485086304587,0.00038465782781057,0.000397650961625663,0.000297080296361119,0.000369707312832687,0.000349053192833201,0.000343830358390616,0.000330467436237904,0.00032506554674912,0.00032831117506861,0.000351370005112886,0.000304966465764977,0.000358343195475746,0.000294761536672023,0.000348003440395767,0.000369389124105331,0.000296194774571691,0.000310463319168216,0.00030840052449531,0.000368333215734303,0.000409515074789471,0.00038526933718164,0.000257590202504825,0.000322172983720222,0.000381521068238902,0.000328415614961165,0.000288218336301695,0.000334599212864052,0.000391714038146251,0.000390743803219726,0.000349359081616802,0.000370978925484234,0.000373484973785557,0.000239231644544304,0.000373419387578597,0.000391570390666923,0.000360274904737978,0.000376447285734148,0.000277465806891388,0.000394726976232881,0.000295881972681942,0.000268959189928074,0.000323375994172252,0.000388478767144463,0.000255183640733067,0.000385295270059323,0.000395426376461685,0.000380895752341247,0.000348221735736616,0.000377447438783852,0.0003553305215123,0.000380576674350743,0.000388141549039926,0.000384660485763636,0.000395551966720775,0.00039371540692572,0.000401389055122169,0.00039056899760051,0.000389438203114537,0.000338464051723623,0.000385357053591791,0.000387602262693876,0.000406016841431028,0.000372467030641413,0.000389945805226671
