Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	sce01100:Metabolic pathways	57	89.0625	3.0805207249276776E-28	MET14, TSL1, UGA2, INO1, UGA1, MET10, RIB5, RIB3, ERG25, CDC21, CTT1, QCR7, QCR2, GSC2, TPS2, QCR8, TPS1, ERG9, ARG4, HIS3, CPA2, HIS5, CPA1, ARG1, UTR4, GDH1, LYS1, GDH3, LYS5, PYC1, MET16, SEC53, BNA2, ATP7, TRP5, COX15, TRP3, ATP3, ATP4, GLK1, ASN1, GLG1, FOL2, MET2, COX7, SER3, URA4, COX12, TIM11, COX13, MET5, ATP18, PMI40, FKS3, GLN1, ADI1, RIP1	57	797	2412	3.0263488080301126	1.4786499479652854E-26	1.4786499479652854E-26	1.2630134972203478E-26
KEGG_PATHWAY	sce00250:Alanine, aspartate and glutamate metabolism	10	15.625	1.8811866501119535E-8	ARG4, CPA2, CPA1, UGA2, UGA1, ARG1, GDH1, GDH3, GLN1, ASN1	57	32	2412	13.223684210526315	9.029691931949912E-7	4.5148479602686884E-7	3.8564326327295047E-7
KEGG_PATHWAY	sce00190:Oxidative phosphorylation	13	20.3125	1.1447823562670248E-7	ATP7, COX15, ATP3, ATP4, QCR7, COX7, QCR2, COX12, TIM11, COX13, QCR8, RIP1, ATP18	57	79	2412	6.963357761492339	5.494940529371384E-6	1.8316517700272397E-6	1.5645358868982672E-6
KEGG_PATHWAY	sce01110:Biosynthesis of secondary metabolites	24	37.5	8.884172000392544E-7	HIS3, ARG4, HIS5, TSL1, PMI40, TRP5, INO1, COX15, ARG1, TRP3, LYS1, GLK1, ASN1, RIB5, GLG1, RIB3, ERG25, CTT1, MET2, SER3, TPS2, TPS1, SEC53, ERG9	57	351	2412	2.893387314439946	4.264313529989128E-5	1.0661006400471053E-5	9.106276300402358E-6
KEGG_PATHWAY	sce01230:Biosynthesis of amino acids	12	18.75	9.457735880420466E-5	HIS3, ARG4, MET2, HIS5, PYC1, TRP5, SER3, ARG1, TRP3, LYS1, GLN1, ASN1	57	125	2412	4.062315789473684	0.00452963801813866	9.079426445203647E-4	7.755343421944782E-4
KEGG_PATHWAY	sce00500:Starch and sucrose metabolism	7	10.9375	2.864596935888168E-4	TSL1, FKS3, GLK1, GSC2, TPS2, TPS1, GLG1	57	41	2412	7.224646983311938	0.013657907828149574	0.002018291669975633	0.0017239574681041864
KEGG_PATHWAY	sce00920:Sulfur metabolism	5	7.8125	2.9433420187144647E-4	MET14, MET2, MET10, MET16, MET5	57	15	2412	14.105263157894735	0.014030759664912518	0.002018291669975633	0.0017239574681041864
KEGG_PATHWAY	sce00220:Arginine biosynthesis	5	7.8125	4.957012869857868E-4	ARG4, ARG1, GDH1, GDH3, GLN1	57	17	2412	12.445820433436532	0.02351858489717762	0.0029742077219147207	0.002540469095802157
KEGG_PATHWAY	sce01240:Biosynthesis of cofactors	10	15.625	0.0026747631663632163	CPA2, CPA1, BNA2, PMI40, COX15, URA4, RIB5, FOL2, RIB3, SEC53	57	131	2412	3.2302129369224586	0.12063976656860254	0.014265403553937153	0.012185032202321318
KEGG_PATHWAY	sce00910:Nitrogen metabolism	3	4.6875	0.013554205922462441	GDH1, GDH3, GLN1	57	8	2412	15.868421052631577	0.4805846006234784	0.06506018842781972	0.055572244282096006
KEGG_PATHWAY	sce00240:Pyrimidine metabolism	4	6.25	0.03365637888463134	CPA2, CDC21, CPA1, URA4	57	31	2412	5.460101867572155	0.8066625253795912	0.14686419876930037	0.12544650311544409
KEGG_PATHWAY	sce00400:Phenylalanine, tyrosine and tryptophan biosynthesis	3	4.6875	0.05762246122051996	HIS5, TRP5, TRP3	57	17	2412	7.467492260061919	0.9420842795391745	0.23048984488207985	0.1968767425034432
KEGG_PATHWAY	sce00270:Cysteine and methionine metabolism	4	6.25	0.07613238744801595	MET2, ADI1, SER3, UTR4	57	43	2412	3.9363525091799265	0.9776505086169285	0.2811041998080589	0.24010983733605032
KEGG_PATHWAY	sce01250:Biosynthesis of nucleotide sugars	3	4.6875	0.09819725541957566	PMI40, GLK1, SEC53	57	23	2412	5.519450800915331	0.9929958646392437	0.31423121734264214	0.2684058314801735
KEGG_PATHWAY	sce00051:Fructose and mannose metabolism	3	4.6875	0.09819725541957566	PMI40, GLK1, SEC53	57	23	2412	5.519450800915331	0.9929958646392437	0.31423121734264214	0.2684058314801735
