Accession,Gene,protein length,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.40,prot.41,prot.42,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7,RNA.8,RNA.9,RNA.10,RNA.11,RNA.12,RNA.13,RNA.14,RNA.15,RNA.16,RNA.17,RNA.18,RNA.19,RNA.20,RNA.21,RNA.22,RNA.23,RNA.24,RNA.25,RNA.26,RNA.27,RNA.28,RNA.29,RNA.30,RNA.31,RNA.32,RNA.33,RNA.34,RNA.35,RNA.36,RNA.37,RNA.38,RNA.39,RNA.40,RNA.41,RNA.42,GR.cluster,NM.cluster,GR.Pearson.r,NM.Pearson.r,all.Pearson.r,GR.Spearman.rho,NM.Spearman.rho,all.Spearman.rho
D6W196,SAL1,494,4.840233552,4.240349406,4.525755977,8.088604291,7.265799546,7.831574726,4.735927495,4.787078069,5.230468835,7.356842448,6.292293332,6.597311919,7.097679483,6.659934978,7.134521601,8.749577843,9.16222684,9.059308777,10.27768209,9.716328592,9.805620188,10.51203686,13.47179662,10.80663683,10.114793,6.192519701,7.804859909,4.714593317,7.982190497,8.865142179,12.33622789,14.28909217,13.60893504,9.417003037,8.508047671,9.706513651,8.862340448,10.33893025,7.529837666,8.973509447,9.083727393,8.658791968,0.072282302,0.067355904,0.082776673,0.176688173,0.171668604,0.160445863,0.084198666,0.097252899,0.101736811,0.106321685,0.097191433,0.090383214,0.161887693,0.182421384,0.158554119,0.182946824,0.181979563,0.205564414,0.312091068,0.274876329,0.341893138,0.260848776,0.201216598,0.23231932,0.17995115,0.168987378,0.164689321,0.098882026,0.082060974,0.071542909,0.07920797,0.076797702,0.07213091,0.095419365,0.088347798,0.100531074,0.115670214,0.132604591,0.116370975,0.090389591,0.079205645,0.096257615,3,1,0.895106789,0.105455384,0.275133753,0.923632611,-0.064102564,0.273316587
O13297,CET1,549,157.097283,156.674508,169.0970929,198.6782178,219.7359149,186.590269,117.466448,136.6703106,140.7963781,186.8944838,163.994621,151.9823096,159.3084655,164.7441146,180.2890667,204.4572547,247.9609924,203.4695987,259.4879333,254.2644308,267.9954142,184.511608,276.4832003,193.8547485,222.5309389,156.0739965,216.1382641,100.2533156,168.8178819,202.317542,199.4625084,220.4635295,185.9018274,221.6937237,185.9699629,200.0248887,185.3136092,223.9311599,199.4541733,244.0026596,255.5190597,275.9747869,0.096743249,0.098313753,0.125093686,0.256022817,0.231469573,0.216784255,0.107018809,0.136202605,0.132497558,0.151206484,0.128061574,0.125285442,0.186158192,0.200399367,0.197902205,0.208917194,0.207701311,0.229310456,0.307914139,0.303739451,0.350881003,0.369044787,0.275725082,0.306162531,0.206553342,0.24802281,0.246963605,0.120619829,0.104260771,0.082735093,0.078070311,0.084250726,0.070265597,0.10479589,0.106456544,0.108521636,0.128736884,0.156103662,0.146588576,0.117606481,0.098678013,0.115184607,3,1,0.890444161,0.089570489,0.351427067,0.82868937,-0.037240537,0.252896848
O13329,FOB1,566,1.53461556,1.245269652,1.309992658,1.551638259,1.723676969,1.545066482,0.766840367,1.199746621,1.668468055,1.278392203,1.379323894,1.45418022,1.764032469,1.536393338,1.673903255,3.073074317,2.777308439,4.087784493,3.488707712,5.391818649,3.781595885,0.438938706,1.434029436,1.643237631,2.189500029,1.608918576,1.723533149,0.881257183,1.659107769,1.411419731,1.492678045,2.536711524,1.751296406,2.074819544,1.844411878,1.572128619,1.096214182,1.841295778,1.431874132,1.507849057,1.729495685,1.649627634,0.073342937,0.052759748,0.099513501,0.19864731,0.202157761,0.169469425,0.092918456,0.101561656,0.107131726,0.114578816,0.109124998,0.102708521,0.175744467,0.186155947,0.178304457,0.238779329,0.204287469,0.249755826,0.359624287,0.335261536,0.456096189,0.277577181,0.224802775,0.225614961,0.20252968,0.163008994,0.141930983,0.093750022,0.069111606,0.070185626,0.063701982,0.070693158,0.050189144,0.08878421,0.093748229,0.080660631,0.12277758,0.14351633,0.118104294,0.101547311,0.069630437,0.092075076,1,1,0.850031496,-0.224327247,0.636859664,0.874097007,-0.161782662,0.34316506
O13516,RPS9A,197,11824.16691,9997.847519,9111.935208,15070.51863,14398.26271,16898.70556,8990.481368,9073.912674,10464.84054,14635.14809,12237.71435,12338.4363,16473.91086,14724.85356,14931.60629,32562.14065,33682.04255,34040.86444,51196.30227,50023.46513,48001.83244,22204.40106,23015.17061,29086.98226,21622.89976,15117.43824,16878.87595,10334.06991,16573.03798,16243.8032,18610.43281,22546.22608,19818.29857,18155.63132,16598.65914,19418.01283,16238.76708,18257.948,17344.71484,21103.76216,21925.61113,21836.82896,0.441493466,0.141326109,0.519423158,1.290145502,1.277890407,1.11209694,0.549135013,0.640281491,0.72141661,0.784385654,0.739433344,0.695764272,1.193218822,1.293488958,1.13900851,1.683694312,1.551415031,1.887424572,2.599477284,2.588517129,3.239138468,1.835263494,1.446973549,1.524658435,0.997291145,1.073129669,0.927127784,0.683977259,0.379921839,0.411934615,0.443371259,0.435888216,0.283392853,0.469902744,0.527683066,0.487346706,0.790001196,0.884259379,0.71699416,0.687011697,0.389067383,0.616458103,1,1,0.952228774,0.265340274,0.822658539,0.931888545,0.036630037,0.434891824
O13525,COQ4,335,86.21770457,83.95423682,0,80.68260567,88.77986271,79.62799419,79.29722017,70.7070234,126.612436,130.4791656,100.1283458,107.3136917,132.8359324,0,136.4780734,146.4763429,0,134.7529193,0,137.8935254,148.0709796,89.19950569,125.6163545,0,0,112.0712562,126.7175483,110.3314697,158.6649173,176.943551,137.6533693,0,173.3552411,183.0690498,193.0109369,212.5772275,104.56601,123.5973429,0,0,247.8022686,172.4217166,0.177795371,0.378482419,0.237216521,0.501951472,0.42948913,0.436681696,0.170530429,0.206947183,0.220046117,0.188816256,0.18760482,0.165522718,0.232378037,0.228323273,0.242070257,0.201423787,0.206140175,0.218099043,0.30855263,0.284061314,0.335169742,0.62425328,0.550275072,0.609176603,0.492613357,0.514036646,0.495486763,0.1790416,0.208326048,0.126201053,0.158333697,0.164845955,0.146292346,0.178523737,0.178323671,0.1822897,0.194777636,0.239090196,0.247052203,0.172873201,0.206854004,0.18620228,2,1,-0.025761494,-0.362300885,-0.261311541,0.105810552,-0.331293653,-0.295012071
O13539,THP2,261,65.45751824,68.69090327,66.05625168,70.53064084,96.28756586,67.56769743,48.50939253,53.11986414,29.0449378,57.34666697,48.05228678,49.25499907,46.87055662,49.41910749,58.37110797,73.28001854,68.27066589,91.19256218,80.54722565,103.2096851,89.46705701,152.708032,160.3563824,167.5068624,120.8976803,50.85816566,67.41348062,29.21579039,67.72843371,67.130225,63.61410901,87.07111842,61.87111297,88.36764975,83.80618567,67.77332011,66.70803918,100.6456553,57.11009603,61.76380551,80.32918587,67.13944202,0.063801816,0.039293244,0.065442799,0.140049435,0.149379383,0.120559932,0.06154634,0.071450298,0.086738889,0.066612674,0.077327412,0.067015508,0.11014716,0.116134267,0.106702292,0.182836144,0.169115737,0.204464736,0.269454907,0.261200604,0.318206614,0.173727827,0.145965858,0.15876501,0.129848815,0.114964228,0.105084797,0.065140222,0.047379947,0.046197495,0.04289779,0.039797871,0.037322465,0.061344549,0.064519992,0.057891614,0.070297593,0.085281937,0.082663782,0.061988145,0.045667336,0.060092126,1,1,0.758610458,0.637217256,0.415435415,0.504643963,0.347374847,0.355319666
O13563,RPN13,156,1217.687924,954.3534992,773.5014568,772.6410963,638.1002264,721.5859169,901.5749299,681.1169125,919.9925189,1440.299514,1255.271247,1378.447078,1321.962546,1127.551809,1137.739865,1671.250187,1594.266628,1858.659137,2071.597955,2173.660133,2229.123697,340.7508353,204.9367918,471.3091984,739.3488868,804.4730961,820.1386052,882.2969749,1336.274719,1100.254068,819.2568695,757.8987394,871.3313882,1161.775184,1218.953082,1155.073992,806.3715002,651.0149845,1110.097444,1752.864192,1233.831707,1668.332441,0.386759624,0.410265445,0.445838549,0.824238895,0.782722822,0.729665808,0.403601483,0.422608542,0.457016951,0.465200798,0.435995769,0.441866407,0.66967583,0.712046628,0.662451935,0.867460991,0.770813039,0.838220441,1.059421994,1.180939321,1.347939145,1.132219512,0.934463072,0.991315994,0.910757354,0.882027521,0.755978128,0.428439262,0.373423745,0.298250154,0.236121612,0.23819995,0.207761977,0.314991362,0.314584029,0.330832053,0.436929716,0.544180927,0.479227057,0.411273833,0.370805483,0.414784609,3,1,0.88623514,-0.62102783,0.193821616,0.791537668,-0.634310134,-0.031683008
O13585,YPR089W,888,0.633879696,0.724035713,0.560603531,0.634969305,1.335570493,0.704350121,0.544350206,0.591214717,0.660627313,1.023482807,0.857300497,0.930366687,1.041166245,0.93776127,0.988081883,1.757504329,1.664802486,1.573122153,1.813410184,1.783876864,2.239806929,0.501791917,1.608779588,0.802602155,0.813687785,0.576426687,0.89371158,0.677872636,1.064778965,1.028661852,1.091579929,0.94179509,1.039609012,1.061796163,1.322449791,0.989655006,0.509981004,1.087451901,0.838326555,1.415723677,1.351747772,1.562658507,0.123388493,0.122348506,0.15472623,0.295185427,0.274571154,0.22810535,0.156717052,0.163648621,0.176009728,0.180600731,0.183108435,0.174563531,0.273023429,0.266807333,0.2744492,0.3368738,0.319860888,0.348471476,0.487248954,0.476397808,0.594116692,0.382888895,0.339504901,0.3332431,0.278943422,0.280543653,0.241900121,0.165828291,0.137293542,0.111583569,0.10134361,0.105138196,0.090278686,0.129397885,0.142100888,0.14354136,0.171386024,0.202850298,0.189666231,0.156559207,0.138204903,0.149529858,3,1,0.938387071,-0.212817036,0.545148459,0.921568627,-0.377899878,0.201037193
O14455,RPL36B,100,18567.69834,14780.14581,14449.40449,27992.20297,29707.07055,28435.3432,14202.03096,14749.23333,21446.91111,25698.44587,21812.10618,22051.88076,31455.46971,28591.67625,26807.53225,60395.51993,60028.11146,41327.91002,89719.07908,73076.60069,89020.89183,51386.26789,62924.51423,61268.07789,41818.15672,27830.37356,28524.31805,18326.15315,29134.59955,27222.74801,32551.42382,36054.8988,36504.90034,29405.50795,27014.10725,30927.22791,28733.54895,38670.10136,29591.53606,37696.39537,32460.53077,40851.49644,1.051249391,0.399845976,1.179366021,3.855211561,3.698772108,3.279213217,1.197636358,1.40375086,1.496162153,1.61048866,1.499641867,1.385437905,2.648044115,2.88686882,2.512464809,4.846392552,4.51408195,5.814790844,7.45192346,7.865245234,9.898088379,5.685928662,4.303136346,4.566870583,3.399887016,3.611785501,3.305720772,1.453391935,0.810398396,0.941327515,1.368674142,1.327996665,1.003622011,1.241820261,1.283611693,1.29027035,1.771773369,1.962505659,1.667487368,1.58020145,0.78791062,1.385186923,1,1,0.954236521,0.576364661,0.851318547,0.936016512,0.323565324,0.600356535
O14467,MBF1,151,6951.569788,6415.98488,6901.48379,7053.688995,7432.112841,5881.157206,4172.256238,4525.184075,7844.301455,5470.868445,4568.285891,4415.654745,4239.190828,4448.838079,4642.143823,6108.897095,7042.918609,5956.16452,9615.335079,7963.179618,7330.967418,8498.583722,10444.08158,8875.939313,9739.321169,6031.158298,7771.964783,3797.016848,7508.479113,5349.574854,5739.607457,7218.30076,6779.135473,8010.123467,7177.991263,6044.017866,6275.239683,8411.447048,7196.225861,9957.325111,8091.972971,6351.159745,2.237343251,3.943373258,2.927924685,4.65067409,4.035625762,3.809331403,2.113725684,2.414841889,2.591991915,2.225311879,2.20912913,2.1580133,2.879421122,2.625684884,2.817002032,3.308295431,3.379324841,3.525381752,5.567133273,5.843102474,6.191270542,5.950955818,5.012903649,5.689816972,4.873000925,5.361740003,5.200620643,2.086598925,2.204424125,1.527735416,0.933297983,1.033856637,1.027196476,1.359164792,1.536073657,1.46966471,2.222493819,2.868948299,2.839446642,2.225737594,2.589794045,2.167731784,3,1,0.69957146,0.432730635,0.45391294,0.673890609,0.474969475,0.426302569
